0;0;0;0;land;false;unknown;0
1;208;211;169;land;false;plains;1
2;170;153;201;land;false;plains;1
3;193;75;249;land;false;plains;1
4;241;228;201;land;false;plains;1
5;186;150;177;land;true;plains;1
6;247;171;152;land;false;plains;1
7;152;242;168;land;true;plains;1
8;187;137;219;land;true;plains;1
9;145;152;235;land;false;plains;1
10;223;113;204;land;true;plains;1
11;241;117;231;land;false;plains;1
12;206;199;152;land;true;plains;1
13;147;241;182;land;false;plains;1
14;126;237;216;land;false;plains;1
15;242;234;148;land;true;plains;1
16;108;238;169;land;false;plains;1
17;174;238;179;land;false;plains;1
18;170;161;215;land;false;plains;1
19;212;221;151;land;true;plains;1
20;228;179;233;land;false;plains;1
21;207;238;247;land;false;plains;1
22;201;218;143;land;false;plains;1
23;70;219;213;land;false;plains;1
24;221;202;92;land;false;plains;1
25;231;185;143;land;false;plains;1
26;111;223;216;land;false;plains;1
27;142;189;202;land;false;plains;1
28;112;233;196;land;false;plains;1
29;208;101;218;land;false;plains;1
30;127;220;180;land;true;plains;1
31;237;105;209;land;false;plains;1
32;203;158;238;land;false;plains;1
33;218;196;239;land;false;plains;1
34;132;167;247;land;false;plains;1
35;253;128;252;land;false;plains;1
36;254;155;224;land;false;plains;1
37;141;166;215;land;false;plains;1
38;222;89;213;land;true;plains;1
39;189;176;229;land;false;plains;1
40;125;173;212;land;false;plains;1
41;235;223;130;land;false;plains;1
42;242;183;133;land;true;plains;1
43;127;173;252;land;false;plains;1
44;240;190;193;land;true;plains;1
45;218;153;254;land;false;plains;1
46;157;200;230;land;false;plains;1
47;191;252;237;land;false;plains;1
48;202;98;217;land;false;plains;1
49;212;98;243;land;false;plains;1
50;234;251;65;land;false;plains;1
51;181;229;129;land;false;plains;1
52;152;232;196;land;true;plains;1
53;222;31;248;land;false;plains;1
54;243;128;154;land;false;plains;1
55;167;112;232;land;false;plains;1
56;246;165;132;land;false;plains;1
57;154;247;165;land;false;plains;1
58;213;195;163;land;false;plains;1
59;209;250;90;land;false;plains;1
60;231;104;209;land;false;plains;1
61;171;145;239;land;false;plains;1
62;254;251;123;land;false;plains;1
63;221;165;138;land;false;plains;1
